Area Code,Block Number,Field,Structure Name,Structure Number,Struc Type Code,Authority Type,Authority Number,Authority Status,Bus Asc Name,Complex Id Num,Maj Struc Flag,Install Date,Removal Date,Site Clear Date,District Code,Heliport Flag,Lease Number,Water Depth (feet),INCs,Latitude,Longitude,Nad Year Cd,Proj Code,Ptfrm X Location,Ptfrm Y Location,Surf N S Dist,Surf N S Code,Surf E W Dist,Surf E W Code,Attended 8 Hr,Manned 24 Hr
BA,  550,BA550,A,1,FIXED,Right-of-Way,G17693,RELQ,Walter Oil & Gas Corporation,10446,Y,1/1/1988,8/23/2002,10/17/2002,4,N,,90,1,28.256515,-95.875428,27,71,3005867.81,167311,991,S,5272,W,N,N
BA,A  52,BA052A,B,1,WP,OCS Lease,G06085,TERMIN,"Noble Energy, Inc.",10462,Y,1/1/1985,8/4/2010,9/16/2010,4,Y,G06085,160,13,28.053441,-95.611694,27,71,3092885.81,95868,7092,N,2750,E,N,N
BA,  411,BA412,1,1,FIXED,OCS Lease,G10214,RELINQ,"Enserch Exploration, Inc.",10484,Y,1/1/1989,9/1/1997,9/7/1997,4,Y,G10214,66,2,28.557493,-95.596708,27,71,3092385.81,279200,2000,S,3250,E,N,N
BA,A  66,BA052A,E,1,FIXED,OCS Lease,G06088,TERMIN,"Arena Offshore, LP",10509,Y,1/1/1990,8/30/2010,1/21/2011,4,Y,G06088,164,13,28.027035,-95.672539,27,71,3073538.81,85707,1413,N,6257,E,N,N
BA,  376,BA376,4,1,CAIS,OCS Lease,G07215,TERMIN,"Hilcorp Energy GOM, LLC",10530,N,1/1/1991,8/17/2008,8/19/2008,4,N,G07215,60,14,28.636239,-95.398311,27,71,3155165.81,309724,844,S,3830,E,N,N
BA,  397,BA397,B,1,WP,OCS Lease,G09012,TERMIN,Devon Louisiana Corporation,10541,N,1/1/1991,8/15/2005,8/27/2005,4,N,,81,3,28.62587,-95.342033,27,71,3173327.81,306516,2364,N,1508,E,N,N
BA,  542,BA542,A,1,FIXED,OCS Lease,G12465,TERMIN,Sabine Oil & Gas Corporation,10544,Y,1/1/1991,7/11/2011,10/14/2011,4,Y,G12465,117,26,28.308274,-95.436377,27,71,3146593.81,190163,7837,N,3438,W,N,N
BA,A   7,BA007A,B,1,FIXED,OCS Lease,G04558,TERMIN,Newfield Exploration Company,146,Y,3/24/1998,8/9/2007,8/27/2007,4,Y,G04558,118,9,28.27802758,-95.48800153,27,71,3130318.81,178668,3492,N,3003,W,N,N
BA,A   2,BA002A,B,1,FIXED,OCS Lease,G25518,EXPIR,Hunt Oil Company,1660,Y,3/25/2005,7/14/2009,10/13/2009,4,N,G25518,118,3,28.31364232,-95.37106126,27,71,3167541.81,192760,5240,N,7294,E,,N
BA,  502,WILD,A,1,FIXED,OCS Lease,G25515,TERMIN,"Royal Production Company, Inc.",2196,Y,7/29/2008,7/23/2014,8/12/2014,4,Y,G25515,85,6,28.37110336,-95.33656056,27,71,3177983.81,213988,148,S,3148,W,,N
BA,A  76,BA076A,A,1,FIXED,OCS Lease,G01752,TERMIN,OXY USA Inc.,10037,Y,1/1/1969,12/1/1990,1/16/1991,4,N,G01752,165,13,27.971356,-95.919901,27,71,2994284.81,63282,7842,S,6311,E,N,N
BA,A  17,BA017A,A,1,FIXED,OCS Lease,G02658,TERMIN,Chevron U.S.A. Inc.,10131,Y,1/1/1979,8/10/1991,8/10/1991,4,N,G02658,148,1,28.162327,-95.476307,27,71,3135348.81,136732,2092,S,8033,W,N,N
BA,A  19,BA020A,C,2,FIXED,OCS Lease,G03936,TERMIN,Shell Offshore Inc.,10146,Y,1/1/1981,9/2/2016,11/25/2016,4,Y,G03936,132,6,28.18055398,-95.58665893,27,71,3099609.81,142302,7662,S,3974,W,Y,Y
BA,A 133,BA133A,C-AUX,2,FIXED,OCS Lease,G02665,OPERNS,GOM Shelf LLC,10249,N,1/1/1986,,,4,Y,G02665,204,6,27.835174,-96.013944,27,71,2965197.81,12992,5072,S,3718,E,Y,Y
BA,  436,BA453,A,1,FIXED,OCS Lease,G04258,TERMIN,Talos ERT LLC,10254,Y,1/1/1984,8/31/2009,9/26/2009,4,Y,G04258,75,34,28.511167,-95.628624,27,71,3082629.81,262067,707,S,2834,W,N,N
BA,A 104,BA133A,A,1,WP,OCS Lease,G11297,TERMIN,"Mariner Energy, Inc.",10499,N,1/1/1990,1/7/2011,6/11/2011,4,N,G11297,186,17,27.866942,-96.033411,27,71,2958613.81,24380,620,S,5538,W,N,N
